Problem,Type,Solver,Variables,Clauses,Time,Result
4-3-3,pb,glucose3,144,0,0.014739274978637695,SAT
4-3-3,pb,glucose3,144,4590,0.011851787567138672,SAT
4-3-3,pb,glucose3,144,4590,0.014152765274047852,SAT
4-3-3,sce_sbc_pb,glucose3,144,4590,0.013079166412353516,SAT
4-3-3,sce_sbm_nsc,glucose3,90,1329,0.007827997207641602,SAT
4-3-3,sce_sbm_pb,glucose3,90,1365,0.010135650634765625,SAT
4-3-3,sce_sbc_nsc,glucose3,144,4626,0.010681867599487305,SAT
1,4-3-3,NSC_M4,Python SAT,0.0026509761810302734,SAT,3408,3114
1,4-3-3,NSC_M4,Python SAT,0.0024878978729248047,SAT,3408,2916
1,4-3-3,NSC_M4,Python SAT,0.00416111946105957,SAT,12912,4302
4-3-3,sce_sbm_nsc,glucose3,90,1329,0.01083517074584961,SAT
4-3-3,sce_sbm_nsc,glucose3,90,1329,0.008025884628295898,SAT
1,19-10-2,NSC_M4,Python SAT,6.889208793640137,SAT,25937850,6656412
19-10-2,sce_sbm_nsc,glucose3,3700,145282,1.1924409866333008,SAT
1,19-10-2,NSC_M4,Python SAT,1.0059242248535156,SAT,2739990,1557192
19-10-2,sce_sbm_nsc,glucose3,39610,794542,3.727540969848633,SAT
1,19-10-2,NSC_M4,Python SAT,0.9872968196868896,SAT,2739990,1557192
1,19-10-2,NSC_M4,Python SAT,0.9910330772399902,SAT,2739990,1557192
19-10-2,sce_sbm_nsc,glucose3,39610,794542,3.7043750286102295,SAT
19-10-2,sce_sbm_nsc,glucose3,39610,794542,3.377798080444336,SAT
19-10-2,sce_sbm_nsc,glucose3,3700,145282,1.2096662521362305,SAT
6-3-8,sce_sbm_nsc,glucose3,711,96429,600,timeout
